"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition","NIEM XPath","NIEM Type","NIEM Property, ^Reference, (Representation)","NIEM Base Type","NIEM Multiplicity","Old XPath","Old Multiplicity","NIEM Mapping Notes","Code List Code=Definition;"
"Act","","","","An action or behavior of a juvenile that makes the juvenile potentially subject to adjudication by the juvenile court as a delinquent.","nc:Case/j:CaseAugmentation/j:Charge/criminal:ChargeAugmentation/j:OffenseChargeAssociation/j:Offense","j:OffenseType","","nc:ActivityType","","criminal:CriminalCase/criminal:CaseCharge/criminal:ChargeOffense","1,1","",""
"Act","actLocation","address","0..1","The place where the alleged act occurred.","nc:Case/j:CaseAugmentation/j:Charge/criminal:ChargeAugmentation/j:OffenseChargeAssociation/j:OffenseLocationAssociation/nc:Location","j:OffenseLocationAssociationType","^nc:Location, ^j:Offense","nc:LocationType","0,1","criminal:CriminalCase/criminal:CaseCharge/criminal:ChargeOffense/nc:IncidentLocation","0,1","",""
"Act","actSequenceNumber","int","0..1","The order in which this charge appears in a listing of multiple charges against the same juvenile. Example: Ordering charges in descending order of seriousness so that a case management application can identify the most serious charge.","nc:Case/j:CaseAugmentation/j:Charge/criminal:ChargeAugmentation/j:OffenseChargeAssociation/j:Offense/nc:ActivityIdentification","nc:ActivityType","nc:ActivityIdentification","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseCharge/criminal:ChargeOffense/nc:ActivityIdentification","0,unbounded","",""
"Act","actText","string","0..1","Legal term used to describe the alleged offense, which would be a crime if committed by an adult.","nc:Case/j:CaseAugmentation/j:Charge/criminal:ChargeAugmentation/j:OffenseChargeAssociation/j:Offense/nc:ActivityDescriptionText","nc:ActivityType","nc:ActivityDescriptionText","nc:TextType","0,1","criminal:CriminalCase/criminal:CaseCharge/criminal:ChargeOffense/nc:ActivityDescriptionText","0,1","",""
"Act","actTime","dateTime","0..1","The date and time on which an act is alleged or found to have occurred.","nc:Case/j:CaseAugmentation/j:Charge/criminal:ChargeAugmentation/j:OffenseChargeAssociation/j:Offense/nc:ActivityDate","nc:ActivityType","nc:ActivityDate","nc:DateType","0,1","criminal:CriminalCase/criminal:CaseCharge/criminal:ChargeOffense/nc:ActivityDate","0,1","",""
"ActedOnBehalfOf","","","","The actor on whose behalf the filing was submitted to the court as set forth in the docket entry.","nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventOnBehalfOfActor","ecf:CourtEventOnBehalfOfActorType","","structures:ObjectType","","nc:Case/j:CaseAugmentation/ecf:CaseCourtEvent/ecf:CourtEventOnBehalfOfActor","0,1","",""
"ActedOnBehalfOf","actorIDReference","id","","A reference to an actor elsewhere in this message.","nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventOfBehalfOfActor/nc:RoleOf","ecf:CourtEventOnBehalfOfActorType","nc:RoleOfAbstract","","0,1","nc:Case/j:CaseAugmentation/ecf:CaseCourtEvent/ecf:CourtEventOfBehaldOfActor/nc:RoleOf","0,1","",""
"ActedOnBehalfOf","activityExtension","extension","*","An extension point for an activity.","nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation","","","","","","","",""
"Actor","","","","The actor who performed the action as set forth in the docket entry. E.g. the person who filed the document.  Does not include the name of the court clerk composing the docket entry.","nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventActor","ecf:CourtEventActorType","","structures:ObjectType","","nc:Case/j:CaseAugmentation/ecf:CaseCourtEvent/ecf:CourtEventActor/nc:RoleOfPerson, nc:RoleOfOrganization","1,1","",""
"Actor","actorIDReference","id","","A reference to an actor elsewhere in this message.","nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventActor/nc:RoleOf","ecf:CourtEventActorType","nc:RoleOfAbstract, (^nc:RoleOfPerson), (^nc:RoleOfOrganization), (^nc:RoleOfItem)","","1,1","nc:Case/j:CaseAugmentation/ecf:CaseCourtEvent/ecf:CourtEventActor/nc:RoleOfPerson, nc:RoleOfOrganization","1,1","",""
